,timestamp,dap
23,1514764800,27.6
0,1514768400,28.1
1,1514772000,33.0
2,1514775600,32.9
3,1514779200,28.1
4,1514782800,27.6
5,1514786400,24.6
6,1514790000,20.1
7,1514793600,19.9
8,1514797200,19.84
9,1514800800,19.9
10,1514804400,19.9
11,1514808000,19.9
12,1514811600,23.6
13,1514815200,25.1
14,1514818800,23.6
15,1514822400,24.6
16,1514826000,25.1
17,1514829600,27.6
18,1514833200,27.6
19,1514836800,28.1
20,1514840400,32.9
21,1514844000,28.1
22,1514847600,28.1
23,1514851200,39.63
0,1514854800,19.9
1,1514858400,27.6
2,1514862000,19.9
3,1514865600,19.84
4,1514869200,19.1
5,1514872800,19.9
6,1514876400,22.58
7,1514880000,41.92
8,1514883600,47.95
9,1514887200,49.9
10,1514890800,50.5
11,1514894400,49.7
12,1514898000,48.16
13,1514901600,48.02
14,1514905200,47.64
15,1514908800,46.38
16,1514912400,46.4
17,1514916000,49.71
18,1514919600,52.25
19,1514923200,53.47
20,1514926800,55.54
21,1514930400,55.02
22,1514934000,50.5
23,1514937600,41.69
0,1514941200,28.1
1,1514944800,40.69
2,1514948400,30.69
3,1514952000,30.69
4,1514955600,30.69
5,1514959200,30.69
6,1514962800,39.11
7,1514966400,41.69
8,1514970000,51.76
9,1514973600,53.9
10,1514977200,54.45
11,1514980800,53.42
12,1514984400,52.26
13,1514988000,52.0
14,1514991600,50.76
15,1514995200,49.96
16,1514998800,49.48
17,1515002400,51.0
18,1515006000,53.05
19,1515009600,53.47
20,1515013200,53.9
21,1515016800,53.42
22,1515020400,51.01
23,1515024000,40.0
0,1515027600,41.11
1,1515031200,44.19
2,1515034800,42.11
3,1515038400,41.11
4,1515042000,41.09
5,1515045600,40.08
6,1515049200,39.11
7,1515052800,39.1
8,1515056400,47.23
9,1515060000,49.14
10,1515063600,49.63
11,1515067200,48.86
12,1515070800,48.36
13,1515074400,48.19
14,1515078000,45.58
15,1515081600,44.19
16,1515085200,44.19
17,1515088800,50.08
18,1515092400,49.96
19,1515096000,49.14
20,1515099600,49.36
21,1515103200,48.97
22,1515106800,48.11
23,1515110400,55.01
0,1515114000,34.85
1,1515117600,34.85
2,1515121200,20.1
3,1515124800,16.1
4,1515128400,14.6
5,1515132000,13.51
6,1515135600,23.96
7,1515139200,40.1
8,1515142800,49.34
9,1515146400,51.73
10,1515150000,53.27
11,1515153600,52.02
12,1515157200,51.95
13,1515160800,52.02
14,1515164400,51.95
15,1515168000,52.53
16,1515171600,53.99
17,1515175200,56.35
18,1515178800,58.19
19,1515182400,58.76
20,1515186000,60.58
21,1515189600,61.01
22,1515193200,58.05
23,1515196800,46.95
0,1515200400,57.56
1,1515204000,51.99
2,1515207600,44.19
3,1515211200,40.01
4,1515214800,30.75
5,1515218400,30.5
6,1515222000,30.5
7,1515225600,36.98
8,1515229200,43.01
9,1515232800,48.19
10,1515236400,55.01
11,1515240000,56.64
12,1515243600,55.38
13,1515247200,52.07
14,1515250800,48.19
15,1515254400,42.75
16,1515258000,39.51
17,1515261600,44.22
18,1515265200,49.98
19,1515268800,48.71
20,1515272400,50.0
21,1515276000,50.0
22,1515279600,48.69
23,1515283200,66.0
0,1515286800,42.16
1,1515290400,34.39
2,1515294000,32.32
3,1515297600,30.39
4,1515301200,30.29
5,1515304800,29.89
6,1515308400,29.89
7,1515312000,29.89
8,1515315600,30.89
9,1515319200,43.01
10,1515322800,49.67
11,1515326400,53.02
12,1515330000,53.04
13,1515333600,54.07
14,1515337200,53.99
15,1515340800,49.41
16,1515344400,48.69
17,1515348000,54.19
18,1515351600,57.06
19,1515355200,63.19
20,1515358800,64.72
21,1515362400,64.69
22,1515366000,64.62
23,1515369600,66.92
0,1515373200,66.69
1,1515376800,57.55
2,1515380400,53.01
3,1515384000,50.14
4,1515387600,49.54
5,1515391200,51.09
6,1515394800,60.0
7,1515398400,65.59
8,1515402000,65.94
9,1515405600,68.59
10,1515409200,70.62
11,1515412800,69.48
12,1515416400,69.46
13,1515420000,69.42
14,1515423600,68.92
15,1515427200,68.59
16,1515430800,67.09
17,1515434400,67.09
18,1515438000,68.71
19,1515441600,69.69
20,1515445200,70.88
21,1515448800,70.62
22,1515452400,68.92
23,1515456000,62.31
0,1515459600,68.71
1,1515463200,54.32
2,1515466800,49.69
3,1515470400,48.99
4,1515474000,46.99
5,1515477600,45.92
6,1515481200,47.29
7,1515484800,55.9
8,1515488400,58.99
9,1515492000,64.58
