,timestamp,idp
2,1514678400,29.09
0,1514757600,16.0
1,1514761200,12.4
2,1514764800,15.2
3,1514768400,28.1
4,1514772000,33.0
2,1514775600,32.4
3,1514779200,38.11
7,1514782800,22.6
1,1514786400,24.61
9,1514790000,15.1
0,1514793600,37.1
1,1514797200,37.1
12,1514800800,14.9
10,1514804400,19.9
0,1514808000,14.23
8,1514811600,23.61
16,1514815200,24.46
10,1514818800,4.0
18,1514822400,23.96
16,1514826000,20.1
20,1514829600,22.6
18,1514833200,15.93
4,1514836800,22.92
20,1514840400,20.1
6,1514844000,23.1
25,1514847600,24.42
8,1514851200,36.64
0,1514854800,9.34
4,1514858400,22.6
2,1514862000,0.8
6,1514865600,14.84
7,1514869200,14.1
8,1514872800,14.9
9,1514876400,22.58
3,1514880000,42.37
8,1514883600,49.88
2,1514887200,54.33
13,1514890800,50.0
11,1514894400,51.5
5,1514898000,54.33
2,1514901600,54.45
14,1514905200,49.65
0,1514908800,50.08
9,1514912400,49.14
13,1514916000,49.72
7,1514919600,52.83
19,1514923200,51.67
9,1514926800,54.5
0,1514930400,46.99
25,1514934000,48.0
26,1514937600,41.74
0,1514941200,20.31
4,1514944800,41.69
2,1514948400,27.6
3,1514952000,20.31
7,1514955600,25.69
8,1514959200,25.69
2,1514962800,37.58
7,1514966400,29.18
4,1514970000,52.0
9,1514973600,53.9
10,1514977200,54.45
14,1514980800,54.45
15,1514984400,54.26
13,1514988000,54.19
10,1514991600,54.33
18,1514995200,51.0
16,1514998800,52.0
17,1515002400,53.99
21,1515006000,52.33
19,1515009600,55.47
5,1515013200,51.9
14,1515016800,55.4
7,1515020400,50.41
26,1515024000,40.0
3,1515027600,41.11
1,1515031200,45.19
2,1515034800,42.51
6,1515038400,46.11
4,1515042000,27.6
1,1515045600,30.0
6,1515049200,44.11
10,1515052800,48.57
1,1515056400,49.93
2,1515060000,50.48
13,1515063600,49.96
0,1515067200,38.1
1,1515070800,37.06
2,1515074400,41.69
10,1515078000,49.33
15,1515081600,49.13
16,1515085200,49.0
13,1515088800,50.78
18,1515092400,50.46
15,1515096000,48.92
23,1515099600,48.36
6,1515103200,48.97
11,1515106800,49.32
8,1515110400,55.01
3,1515114000,44.66
4,1515117600,29.85
5,1515121200,20.08
6,1515124800,16.07
0,1515128400,3.0
5,1515132000,16.0
2,1515135600,22.0
7,1515139200,35.35
4,1515142800,51.0
12,1515146400,54.02
13,1515150000,56.27
4,1515153600,55.5
12,1515157200,53.95
9,1515160800,56.56
14,1515164400,54.25
15,1515168000,54.53
9,1515171600,55.99
10,1515175200,58.35
18,1515178800,60.19
8,1515182400,70.0
16,1515186000,66.58
6,1515189600,64.47
22,1515193200,60.05
26,1515196800,46.95
0,1515200400,47.3
1,1515204000,41.59
2,1515207600,34.99
6,1515211200,41.11
7,1515214800,33.25
1,1515218400,47.43
9,1515222000,35.5
0,1515225600,42.1
4,1515229200,38.35
9,1515232800,48.19
3,1515236400,49.99
0,1515240000,52.19
8,1515243600,53.38
13,1515247200,53.07
17,1515250800,49.33
8,1515254400,40.74
9,1515258000,38.97
20,1515261600,44.22
7,1515265200,51.0
22,1515268800,48.71
9,1515272400,45.0
10,1515276000,45.01
7,1515279600,48.69
19,1515283200,60.0
0,1515286800,47.67
4,1515290400,43.99
5,1515294000,43.99
6,1515297600,30.39
7,1515301200,30.29
